S No., Constraints, Programs, Extracted Programs, Exec. Time
2814,( and ( > ( f x y ) ( + x ( f x y ) ) ) ( = ( f x y ) ( - ( f x y ) x ) ) ),unknown,unknown,1467100
2815,( or ( <= ( f x y ) ( f x y ) ) ( >= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1276275
2816,( and ( > ( f x y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),unknown,unknown,1189644
2817,( and ( < ( f x y ) x ) ( < ( f x y ) y ) ),Timeout,Timeout,1303680
2818,( and ( <= ( - x ( f x y ) ) ( f x y ) ) ( >= ( f x y ) ( + x ( f x y ) ) ) ),unknown,unknown,1206631
2819,( or ( <= x ( f x y ) ) ( < ( f x y ) ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1237052
2820,( or ( < ( + ( f x y ) x ) ( f x y ) ) ( >= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1224778
2821,( or ( >= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( <= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1211439
2822,( and ( >= y ( f x y ) ) ( = ( f x y ) x ) ),unknown,unknown,1206701
2823,( or ( > ( f x y ) ( + ( + y ( f x y ) ) ( f x y ) ) ) ( <= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1203634
2824,( and ( = ( f x y ) ( + x ( f x y ) ) ) ( <= x ( f x y ) ) ),unknown,unknown,1199849
2825,( and ( >= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,unknown,1217196
2826,( or ( = y ( f x y ) ) ( <= ( f x y ) ( - ( f x y ) y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1206217
2827,( or ( = ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( <= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (* x 0)),((* x 0)),1239437
2828,( and ( > ( f x y ) y ) ( <= ( f x y ) x ) ),unknown,unknown,1187880
2829,( and ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1207700
2830,( and ( <= ( f x y ) ( + ( f x y ) x ) ) ( <= x ( f x y ) ) ),unknown,unknown,1210262
2831,( and ( > x ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,unknown,1291075
2832,( and ( > ( + ( f x y ) ( - ( f x y ) ( + ( f x y ) ( + ( f x y ) ( - x ( f x y ) ) ) ) ) ) ( f x y ) ) ( > ( + y ( f x y ) ) ( f x y ) ) ),unknown,unknown,1373096
2833,( or ( = ( - ( f x y ) ( - ( - y ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ( > ( f x y ) x ) ),Timeout,Timeout,1437853
2834,( or ( = ( + y ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1298320
2835,( or ( = ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ( > ( f x y ) ( - ( - ( f x y ) ( + x ( f x y ) ) ) ( f x y ) ) ) ),Timeout,Timeout,1298875
2836,( or ( <= ( f x y ) ( + ( f x y ) ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ) ( > ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int (mod y 5)),((mod y 5)),1229606
2837,( or ( < x ( f x y ) ) ( < ( f x y ) y ) ),Timeout,Timeout,1283850
2838,( or ( >= ( - y ( f x y ) ) ( f x y ) ) ( = x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1210242
2839,( and ( >= y ( f x y ) ) ( <= ( f x y ) x ) ),Timeout,Timeout,1275579
2840,( or ( < ( + ( f x y ) ( - ( - ( f x y ) x ) ( f x y ) ) ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1204539
2841,( and ( < ( f x y ) y ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1182380
2842,( and ( = ( f x y ) ( f x y ) ) ( = ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1195267
2843,( and ( <= ( - x ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1362275
2844,( or ( < ( f x y ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1241392
2845,( and ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1250526
2846,( or ( >= ( f x y ) ( - ( f x y ) y ) ) ( > ( - x ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1443666
2847,( and ( = x ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1291425
2848,( and ( > x ( f x y ) ) ( > ( f x y ) ( - ( f x y ) ( - ( f x y ) x ) ) ) ),unknown,unknown,1258472
2849,( or ( = y ( f x y ) ) ( = x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1197214
2850,( and ( > ( f x y ) x ) ( > ( f x y ) ( - ( f x y ) x ) ) ),unknown,unknown,1229307
2851,( and ( = ( + y ( f x y ) ) ( f x y ) ) ( < ( - ( f x y ) ( - ( f x y ) x ) ) ( f x y ) ) ),Timeout,Timeout,1260199
2852,( and ( < ( f x y ) ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ( < ( f x y ) ( - ( f x y ) y ) ) ),unknown,unknown,1192388
2853,( or ( <= y ( f x y ) ) ( >= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1279083
2854,( and ( < ( f x y ) ( f x y ) ) ( > ( f x y ) x ) ),unknown,unknown,1310696
2855,( and ( < ( f x y ) y ) ( > ( f x y ) ( - y ( f x y ) ) ) ),unknown,unknown,1603147
2856,( or ( < x ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),Timeout,Timeout,1729427
2857,( and ( >= y ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,unknown,1198332
2858,( or ( > y ( f x y ) ) ( <= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1206083
2859,( or ( < ( + ( f x y ) x ) ( f x y ) ) ( < ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1256408
2860,( or ( < ( f x y ) ( f x y ) ) ( <= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1223014
2861,( and ( < x ( f x y ) ) ( = ( - x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1274977
2862,( or ( > ( f x y ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1230261
2863,( and ( = ( f x y ) x ) ( >= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1197715
2864,( or ( >= ( f x y ) x ) ( > x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1254197
2865,( and ( = ( + ( - ( - ( - ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( + ( f x y ) ( - ( f x y ) x ) ) ) ),unknown,unknown,1307948
2866,( or ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( = ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1346468
2867,( or ( > ( f x y ) ( - ( f x y ) ( + ( f x y ) x ) ) ) ( = ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1194684
2868,( or ( <= ( f x y ) ( f x y ) ) ( = ( f x y ) ( + ( + ( + x ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1237412
2869,( and ( <= ( - ( f x y ) ( - ( f x y ) ( - ( f x y ) x ) ) ) ( f x y ) ) ( > ( - ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1225830
2870,( or ( > x ( f x y ) ) ( < ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1372786
2871,( and ( < y ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1233056
2872,( and ( > x ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1331573
2873,( and ( > ( f x y ) ( f x y ) ) ( = y ( f x y ) ) ),unknown,unknown,1213603
2874,( and ( > ( f x y ) x ) ( > ( f x y ) ( + ( f x y ) y ) ) ),unknown,unknown,1203986
2875,( or ( <= ( f x y ) ( f x y ) ) ( > ( - y ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1293883
2876,( or ( <= ( + ( + ( f x y ) ( + ( f x y ) ( + ( f x y ) x ) ) ) ( f x y ) ) ( f x y ) ) ( > y ( f x y ) ) ),Timeout,Timeout,1327523
2877,( or ( = ( f x y ) ( - ( f x y ) x ) ) ( <= ( f x y ) ( + ( f x y ) ( - ( - ( f x y ) ( f x y ) ) ( f x y ) ) ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1298656
2878,( and ( < ( f x y ) ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) ( - ( - ( f x y ) ( f x y ) ) ( f x y ) ) ) ) ),unknown,unknown,1583524
2879,( and ( < ( + x ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( - ( f x y ) ( + x ( f x y ) ) ) ) ),unknown,unknown,1707172
2880,( or ( <= ( f x y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1280924
2881,( or ( = ( f x y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1210099
2882,( or ( < ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ( = x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1283175
2883,( and ( < ( f x y ) ( + ( - ( f x y ) ( + x ( f x y ) ) ) ( f x y ) ) ) ( >= y ( f x y ) ) ),unknown,unknown,1292248
2884,( or ( = y ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1353979
2885,( and ( < ( f x y ) ( f x y ) ) ( >= ( f x y ) ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ),unknown,unknown,1350290
2886,( or ( <= y ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1288063
2887,( and ( > x ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1296530
2888,( or ( < x ( f x y ) ) ( > ( f x y ) x ) ),Timeout,Timeout,1265725
2889,( and ( <= ( f x y ) ( f x y ) ) ( > ( f x y ) x ) ),Timeout,Timeout,1321871
2890,( or ( > ( f x y ) x ) ( >= ( + y ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- x y)),((- x y)),1232843
2891,( and ( <= y ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1199578
2892,( and ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( <= ( - ( f x y ) x ) ( f x y ) ) ),unknown,unknown,1190684
2893,( or ( >= ( + x ( f x y ) ) ( f x y ) ) ( > ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1183564
2894,( and ( <= ( f x y ) ( f x y ) ) ( < ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1252603
2895,( or ( > ( f x y ) ( f x y ) ) ( <= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1238921
2896,( and ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( > ( - ( f x y ) y ) ( f x y ) ) ),unknown,unknown,1255502
2897,( or ( >= ( f x y ) ( f x y ) ) ( = ( f x y ) ( - ( - ( f x y ) ( + ( f x y ) y ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1190173
2898,( or ( <= x ( f x y ) ) ( = y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1191148
2899,( or ( >= y ( f x y ) ) ( < ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1199987
2900,( or ( = y ( f x y ) ) ( >= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1426349
2901,( or ( >= y ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),2052426
2902,( and ( > ( f x y ) y ) ( <= y ( f x y ) ) ),Timeout,Timeout,1593533
2903,( and ( > ( f x y ) y ) ( = ( f x y ) ( + y ( f x y ) ) ) ),unknown,unknown,1567252
2904,( and ( < ( - x ( f x y ) ) ( f x y ) ) ( < ( + ( f x y ) ( + y ( f x y ) ) ) ( f x y ) ) ),unknown,unknown,1439656
2905,( or ( < ( f x y ) x ) ( > ( f x y ) ( + ( + ( + ( - y ( f x y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ),Timeout,Timeout,1453667
2906,( and ( <= ( - ( f x y ) y ) ( f x y ) ) ( = y ( f x y ) ) ),unknown,unknown,1320411
2907,( and ( <= ( f x y ) ( f x y ) ) ( > x ( f x y ) ) ),Timeout,Timeout,1367138
2908,( and ( >= ( + ( + ( f x y ) x ) ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( + ( f x y ) y ) ) ),unknown,unknown,1188066
2909,( or ( <= y ( f x y ) ) ( = ( + ( f x y ) ( + ( f x y ) x ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1232345
2910,( and ( = ( f x y ) x ) ( <= ( - ( f x y ) x ) ( f x y ) ) ),unknown,unknown,1257104
2911,( or ( = ( f x y ) ( - ( f x y ) ( - ( f x y ) y ) ) ) ( = y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1223412
2912,( or ( < ( + y ( f x y ) ) ( f x y ) ) ( > ( f x y ) x ) ),Timeout,Timeout,1317058
2913,( or ( <= ( + x ( f x y ) ) ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) x ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1279817
2914,( and ( >= ( f x y ) ( f x y ) ) ( <= ( + ( f x y ) x ) ( f x y ) ) ),unknown,unknown,1268832
2915,( and ( > ( f x y ) ( f x y ) ) ( < ( f x y ) x ) ),unknown,unknown,1231899
2916,( and ( = x ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1220623
2917,( and ( >= ( f x y ) ( + y ( f x y ) ) ) ( > y ( f x y ) ) ),Timeout,Timeout,1286192
2918,( and ( = ( f x y ) x ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1209550
2919,( or ( <= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( < y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (* x 0)),((* x 0)),1280816
2920,( or ( < ( f x y ) y ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1233282
2921,( and ( > ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1227665
2922,( and ( > ( f x y ) x ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1429261
2923,( and ( = ( f x y ) ( f x y ) ) ( > ( f x y ) ( - ( f x y ) y ) ) ),unknown,unknown,1523887
2924,( or ( = ( f x y ) ( f x y ) ) ( > ( f x y ) ( - y ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1640432
2925,( and ( > ( + x ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),unknown,unknown,1271906
2926,( or ( < ( f x y ) ( f x y ) ) ( = ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1311911
2927,( and ( >= ( f x y ) ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1393842
2928,( and ( <= ( f x y ) y ) ( <= ( f x y ) ( + ( f x y ) x ) ) ),unknown,unknown,1193983
2929,( and ( >= x ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1213238
2930,( or ( > ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1326141
2931,( or ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( <= ( f x y ) ( + ( f x y ) y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1217614
2932,( and ( > ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( >= x ( f x y ) ) ),Timeout,Timeout,1326114
2933,( or ( <= ( f x y ) y ) ( > ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1357187
2934,( and ( = ( f x y ) ( - y ( f x y ) ) ) ( > ( f x y ) ( - ( f x y ) ( - ( f x y ) x ) ) ) ),unknown,unknown,1419304
2935,( or ( <= x ( f x y ) ) ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1399129
2936,( and ( = y ( f x y ) ) ( >= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,unknown,1202829
2937,( or ( >= x ( f x y ) ) ( >= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1173062
2938,( and ( > ( f x y ) ( + ( f x y ) ( + ( f x y ) x ) ) ) ( <= ( - ( f x y ) ( + ( f x y ) x ) ) ( f x y ) ) ),unknown,unknown,1194321
2939,( and ( > ( f x y ) x ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1220822
2940,( or ( >= ( f x y ) x ) ( < x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1229583
2941,( or ( >= ( + ( - ( f x y ) x ) ( f x y ) ) ( f x y ) ) ( <= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1197296
2942,( and ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( > y ( f x y ) ) ),unknown,unknown,1208830
2943,( or ( < ( f x y ) y ) ( = y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1293569
2944,( and ( > ( f x y ) ( f x y ) ) ( >= y ( f x y ) ) ),unknown,unknown,1194075
2945,( and ( < ( f x y ) ( - ( f x y ) ( + ( f x y ) y ) ) ) ( >= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,1263374
2946,( or ( > ( f x y ) ( - ( f x y ) ( + ( f x y ) y ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1581699
2947,( and ( < ( f x y ) x ) ( < ( f x y ) x ) ),Timeout,Timeout,1563932
2948,( or ( = ( f x y ) x ) ( > ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1172225
2949,( or ( < ( f x y ) ( f x y ) ) ( < ( + x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1183606
2950,( or ( < ( f x y ) ( - ( + ( f x y ) x ) ( f x y ) ) ) ( >= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int (* x 0)),((* x 0)),1250130
2951,( or ( <= ( - ( f x y ) ( + ( - ( f x y ) y ) ( f x y ) ) ) ( f x y ) ) ( <= ( + x ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1254736
2952,( and ( < ( + ( f x y ) ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ( <= ( f x y ) y ) ),Timeout,Timeout,1246481
2953,( and ( <= ( f x y ) x ) ( >= ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ),Timeout,Timeout,1262474
2954,( and ( >= ( f x y ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1332909
2955,( or ( >= ( f x y ) ( + ( f x y ) y ) ) ( = ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1255720
2956,( and ( > ( + ( + ( f x y ) ( + y ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1291799
2957,( and ( = x ( f x y ) ) ( > x ( f x y ) ) ),unknown,unknown,1257316
2958,( and ( >= ( f x y ) x ) ( >= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1263282
2959,( and ( > ( f x y ) ( f x y ) ) ( = ( f x y ) x ) ),unknown,unknown,1192818
2960,( and ( <= ( + ( - ( f x y ) ( - ( + ( f x y ) ( + ( - ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ( f x y ) ) ) ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,1242953
2961,( and ( = ( f x y ) y ) ( > x ( f x y ) ) ),unknown,unknown,1437658
2962,( and ( = ( f x y ) x ) ( < y ( f x y ) ) ),unknown,unknown,1412551
2963,( and ( >= ( f x y ) y ) ( <= x ( f x y ) ) ),Timeout,Timeout,1457561
2964,( and ( >= ( f x y ) x ) ( >= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1170908
2965,( or ( = x ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1217544
2966,( and ( > ( - ( f x y ) y ) ( f x y ) ) ( <= x ( f x y ) ) ),unknown,unknown,1208398
2967,( and ( > ( f x y ) x ) ( = ( f x y ) x ) ),unknown,unknown,1185333
2968,( or ( <= ( f x y ) y ) ( = ( - ( - ( f x y ) x ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1202630
2969,( and ( < y ( f x y ) ) ( >= ( f x y ) ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ),Timeout,Timeout,1292970
2970,( or ( < ( f x y ) y ) ( > ( f x y ) ( + ( f x y ) x ) ) ),Timeout,Timeout,1267191
2971,( and ( <= y ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1251672
2972,( and ( >= ( f x y ) ( + ( - ( f x y ) ( - ( f x y ) ( - ( f x y ) x ) ) ) ( f x y ) ) ) ( < ( f x y ) ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ),unknown,unknown,1193380
2973,( or ( < ( - x ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),Timeout,Timeout,1257500
2974,( and ( <= ( f x y ) ( f x y ) ) ( > ( f x y ) y ) ),Timeout,Timeout,1237791
2975,( and ( <= ( f x y ) x ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1190407
2976,( or ( >= ( f x y ) ( f x y ) ) ( < ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1206105
2977,( and ( > x ( f x y ) ) ( < y ( f x y ) ) ),unknown,unknown,1229748
2978,( and ( > ( f x y ) ( f x y ) ) ( < ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1199623
2979,( and ( < ( f x y ) ( f x y ) ) ( > y ( f x y ) ) ),unknown,unknown,1333092
2980,( and ( >= ( + y ( f x y ) ) ( f x y ) ) ( > ( f x y ) x ) ),Timeout,Timeout,1284220
2981,( or ( > ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1372025
2982,( or ( >= ( f x y ) ( f x y ) ) ( < ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1183775
2983,( and ( <= y ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1251215
2984,( and ( < ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ( <= ( f x y ) x ) ),Timeout,Timeout,1259371
2985,( and ( >= ( f x y ) ( f x y ) ) ( = ( - x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1273497
2986,( and ( >= ( f x y ) y ) ( < ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1258114
2987,( or ( > ( f x y ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1172182
2988,( or ( > ( f x y ) x ) ( <= ( + ( f x y ) ( + ( f x y ) ( - ( f x y ) y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y x)),((- y x)),1203614
2989,( and ( < ( f x y ) ( f x y ) ) ( > ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1201716
2990,( and ( < y ( f x y ) ) ( <= x ( f x y ) ) ),Timeout,Timeout,1272721
2991,( and ( < ( f x y ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),unknown,unknown,1201356
2992,( or ( > ( f x y ) x ) ( > x ( f x y ) ) ),Timeout,Timeout,1317850
2993,( and ( > ( + ( - x ( f x y ) ) ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),Timeout,Timeout,1467519
2994,( and ( <= ( + ( f x y ) x ) ( f x y ) ) ( >= x ( f x y ) ) ),unknown,unknown,1431880
2995,( or ( <= ( f x y ) ( + ( f x y ) ( + ( f x y ) ( + ( f x y ) ( - y ( f x y ) ) ) ) ) ) ( > ( + ( f x y ) ( + ( f x y ) ( + ( - y ( f x y ) ) ( f x y ) ) ) ) ( f x y ) ) ),Timeout,Timeout,1440550
2996,( and ( <= ( f x y ) y ) ( > ( f x y ) x ) ),unknown,unknown,1284358
2997,( or ( > ( f x y ) ( f x y ) ) ( = ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1239597
2998,( and ( < ( f x y ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),unknown,unknown,1293193
2999,( and ( > ( f x y ) ( f x y ) ) ( > ( f x y ) ( - ( - x ( f x y ) ) ( f x y ) ) ) ),unknown,unknown,1248424
3000,( and ( >= ( + ( f x y ) ( + ( f x y ) x ) ) ( f x y ) ) ( <= ( + ( f x y ) y ) ( f x y ) ) ),Timeout,Timeout,1286590
3001,( or ( > ( f x y ) ( f x y ) ) ( > ( f x y ) y ) ),Timeout,Timeout,1247863
3002,( or ( > ( f x y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1193861
3003,( and ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1235947
